abbrev,state,Abruzzo,Basilicata,Bolzano,Calabria,Campania,Emilia-Romagna,Friuli Venezia-Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino,Umbria,Valle d'Aosta,Veneto
10,Piemonte,4,2,0,10,8,5,0,8,27,58,2,2,N/A,11,15,19,4,2,0,7,14
20,Valle d'Aosta,0,0,0,1,1,0,0,0,0,1,0,0,10,0,0,1,0,0,0,N/A,0
30,Lombardia,7,7,1,39,37,46,7,26,25,N/A,10,0,91,35,20,55,26,2,5,1,34
41,Bolzano,0,0,N/A,0,0,1,3,0,1,2,1,0,0,1,0,2,0,7,1,0,5
42,Trentino,0,0,0,0,1,0,2,0,0,0,1,0,1,0,1,0,1,N/A,0,0,3
50,Veneto,4,5,12,5,10,27,126,10,2,47,7,1,11,9,6,13,7,22,6,1,N/A
60,Friuli Venezia-Giulia,2,1,0,0,1,0,N/A,0,0,0,0,0,2,0,1,1,3,0,0,0,3
70,Liguria,5,0,2,9,45,11,0,12,N/A,54,2,0,62,7,15,15,37,2,0,2,4
80,Emilia-Romagna,18,4,3,23,24,N/A,2,18,41,89,17,0,11,35,4,19,33,3,17,0,28
90,Toscana,78,25,0,86,77,68,15,100,142,149,40,11,60,119,42,82,N/A,4,116,0,41
100,Umbria,1,1,0,2,2,2,0,7,4,1,0,0,1,1,1,1,5,0,N/A,1,0
110,Marche,71,2,0,1,7,35,0,7,3,8,N/A,2,4,11,1,1,4,0,30,0,1
120,Lazio,28,8,2,31,69,14,1,N/A,3,18,15,7,19,21,14,32,14,0,20,1,5
130,Abruzzo,N/A,2,0,1,8,7,4,34,0,10,44,34,7,97,1,2,3,0,9,0,3
140,Molise,16,0,0,1,9,0,0,6,0,5,3,N/A,0,5,0,0,0,0,0,0,0
150,Campania,0,9,0,4,N/A,3,0,25,1,13,2,1,3,5,0,6,5,0,2,0,1
160,Puglia,1,11,2,6,17,8,2,10,0,13,3,0,10,N/A,0,1,1,1,1,0,6
170,Basilicata,0,N/A,0,31,9,2,0,6,0,0,1,0,1,17,0,0,1,0,1,0,3
180,Calabria,0,1,1,N/A,7,6,0,10,2,8,5,0,6,0,1,34,5,0,0,1,2
190,Sicilia,1,1,0,37,10,4,3,9,6,38,2,0,10,2,2,N/A,11,0,1,0,3
200,Sardegna,0,0,0,0,2,2,1,9,1,5,2,0,4,1,N/A,1,9,0,0,0,1
